0.610987,0.342766,0.440045,64,185,212,255,A1BG;1;alpha-1-B glycoprotein;P04217;96.92716995648807
0.595931,0.301585,0.434705,64,185,212,255,A1CF;29974;APOBEC1 complementation factor;Q9NQ94;99.98065318990116
0.574806,0.425985,0.561354,64,185,212,255,A2M;2;alpha-2-macroglobulin;P01023;64.6553247176531
0.560942,0.315197,0.492892,64,185,212,255,A2ML1;144568;alpha-2-macroglobulin like 1;A8K2U0;66.17142679465894
0.763915,0.386406,0.743854,64,185,212,255,A4GALT;53947;alpha 1 -4-galactosyltransferase;Q9NPC4;112.83252955056177
0.710603,0.505061,0.641813,64,185,212,255,A4GNT;51146;alpha-1 -4-N-acetylglucosaminyltransferase;Q9UNA3;96.96603647342718
0.648405,0.498669,0.548512,64,185,212,255,AAAS;8086;aladin WD repeat nucleoporin;Q9NRG9;91.85974064929485
0.553071,0.806803,0.540184,64,185,212,255,AACS;65985;acetoacetyl-CoA synthetase;Q86V21;135.6700064703396
0.86723,0.180972,0.706795,64,185,212,255,AADAT;51166;aminoadipate aminotransferase;Q8N5Z0;155.0722892800388
0.43235,0.794455,0.722536,64,185,212,255,AAED1;195827;AhpC/TSA antioxidant enzyme domain containing 1;Q7RTV5;188.45092882174316
0.580876,0.634034,0.608331,64,185,212,255,AAGAB;79719;alpha- and gamma-adaptin binding protein;Q6PD74;114.39745417376578
0.501283,0.66931,0.542315,64,185,212,255,AAK1;22848;AP2 associated kinase 1;Q2M2I8;64.91832942951163
0.340203,0.719888,0.603711,64,185,212,255,AAMDC;28971;adipogenesis associated Mth938 domain containing;Q9H7C9;292.97124379825794
0.486182,0.446411,0.542815,64,185,212,255,AAMP;14;angio associated migratory cell protein;Q13685;91.11382058450612
0.286173,0.328615,0.563467,64,185,212,255,AANAT;15;aralkylamine N-acetyltransferase;Q16613;84.20149632349951
0.625214,0.626709,0.449292,64,185,212,255,AAR2;25980;AAR2 splicing factor homolog;Q9Y312;99.8022124283564
0.562675,0.573423,0.479942,64,185,212,255,AARS;16;alanyl-tRNA synthetase;P49588;89.74778724210738
0.695345,0.483821,0.48147,64,185,212,255,AARS2;57505;alanyl-tRNA synthetase 2 - mitochondrial;Q5JTZ9;71.10729593244422
0.519604,0.518318,0.45909,64,185,212,255,AARSD1;80755;alanyl-tRNA synthetase domain containing 1;Q9BTE6;87.86433746972082
0.586246,0.795418,0.413624,64,185,212,255,AASDH;132949;aminoadipate-semialdehyde dehydrogenase;Q4L235;86.32447041437214
0.531078,0.604159,0.54676,64,185,212,255,AASDHPPT;60496;aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase;Q9NRN7;146.89306759211746
0.689515,0.681794,0.389664,64,185,212,255,AASS;10157;aminoadipate-semialdehyde synthase;Q9UDR5;78.04885142387236
0.536085,0.496976,0.391409,64,185,212,255,AATF;26574;apoptosis antagonizing transcription factor;Q9NY61;61.094996654377915
0.555643,0.480353,0.559766,64,185,212,255,AATK;9625;apoptosis associated tyrosine kinase;Q6ZMQ8;58.263966955876825
0.667059,0.588313,0.490321,64,185,212,255,ABAT;18;4-aminobutyrate aminotransferase;P80404;117.29091615301385
0.450599,0.524209,0.573446,64,185,212,255,ABCA1;19;ATP binding cassette subfamily A member 1;O95477;48.50444334378784
0.659008,0.292027,0.211133,64,185,212,255,ABCA10;10349;ATP binding cassette subfamily A member 10;Q8WWZ4;73.06575268755685
0.217365,0.347905,0.692745,64,185,212,255,ABCA12;26154;ATP binding cassette subfamily A member 12;Q86UK0;51.117598095569946
